r_km,xi,xi_err,n_rr
8.207279014538633,215.15474117723073,10.013175026234144,466
9.502721889562721,216.29865710727393,9.022835625523433,580
11.002638407980426,203.02140814615478,7.240448844752368,794
12.739302838035245,174.62324550446198,5.283246324929666,1105
14.750083641889105,164.73041794236923,4.401129121003012,1418
17.078247546886885,156.83281537456557,3.674507330806769,1845
19.7738905320128,132.98045601231738,2.690392299106608,2480
22.895015761924608,111.04810161862608,1.9414096612854381,3331
26.508781662877922,91.80437717040378,1.3940186517226942,4432
30.69294699586007,70.8931430340394,0.9291436036465166,5987
35.537544021115956,52.846194864798726,0.5982541259260086,8101
41.14681575617679,39.023075722612354,0.38784307999470674,10649
47.6414590121018,29.476623563805315,0.2565594139624799,14111
55.16122147218782,21.76583815112955,0.16693171176723334,18599
63.86790869546707,15.969287150065108,0.10701117757151898,25146
73.94886574781883,11.6605975356016,0.0691350964162991,33536
85.62100837626215,8.194006738914773,0.04360827774466963,44450
99.13549046672411,5.657280064469357,0.02730205463713438,59457
114.78310821672885,5.254583053909873,0.02233494795736736,78420
132.90055730662542,3.945486623053556,0.015312865494744846,104305
153.87767770726245,2.8743324103569585,0.010427878860937824,138039
178.16584201336312,1.761759942884279,0.006472882767608074,182044
206.28766779752684,1.380870756232584,0.004855755902782849,240413
238.8482629692342,1.892424377107193,0.005147591656448645,315730
276.54824610947696,0.8330970394802227,0.002851109369804453,413374
320.1988219444535,0.5971545481035749,0.002170151104470244,541644
370.7392363429722,0.6398210198288504,0.0019529402419918558,705042
429.25698642331014,0.7543162404940674,0.0018345279794826377,914465
497.0112206380037,0.4575809311133447,0.0013414749770443428,1180593
575.4598323450009,0.8094296812402968,0.0014699330591859492,1515264
666.2908298477454,3.0828888167276154,0.002939602494066084,1929114
771.4586579051504,1.4816989104167921,0.0015916261604931622,2431174
893.2262522550609,0.29593675746088893,7.471034207296225E-4,3008889
1034.2137320542154,0.07541890150392576,5.621686352206002E-4,3659503
1197.4547779682632,0.20785822669086515,5.795060934552918E-4,4344261
1386.4619090204221,0.525429588599598,6.841643057975825E-4,4971226
1605.3020627852893,-0.13222948754116404,3.7214870783399263E-4,5437218
1858.6841052152895,-0.5334806325458272,1.9621382733596944E-4,5653015
