r_km,xi,xi_err,n_rr
8.207279014538633,232.30089846259705,10.807455424575913,466
9.502721889562721,251.85414093375903,10.499196733424606,580
11.002638407980426,217.67172815839632,7.7603692470853325,794
12.739302838035245,187.00229066241585,5.6556431830394125,1105
14.750083641889105,181.6367632389014,4.850093225107149,1418
17.078247546886885,164.99127000636122,3.864444393523693,1845
19.7738905320128,142.49575969518216,2.8814641950679616,2480
22.895015761924608,120.79103638009536,2.1102213359318376,3331
26.508781662877922,100.06098568404133,1.5180415331741712,4432
30.69294699586007,76.63383630982766,1.003336053894098,5987
35.537544021115956,55.845794655889804,0.631580955345485,8101
41.14681575617679,42.46253960696356,0.4211731587643316,10649
47.6414590121018,33.48358881690626,0.29029099367475825,14111
55.16122147218782,24.49174534166789,0.18691957034790227,18599
63.86790869546707,17.033582814511544,0.11372280495630506,25146
73.94886574781883,11.112214392276746,0.06614056781050251,33536
85.62100837626215,7.770108654301424,0.041597678238470624,44450
99.13549046672411,5.284495165302849,0.025773233018338042,59457
114.78310821672885,5.287251999398153,0.022451607883538886,78420
132.90055730662542,3.6331368303093265,0.014345727025234518,104305
153.87767770726245,2.7776206591341466,0.010167576357341411,138039
178.16584201336312,1.583790529179023,0.006055766445060871,182044
206.28766779752684,1.2070528508935656,0.004501256475357046,240413
238.8482629692342,1.8592502548645038,0.005088552313460788,315730
276.54824610947696,0.712780963900344,0.0026639756376365363,413374
320.1988219444535,0.43848538190053793,0.0019545576500423364,541644
370.7392363429722,0.5675097657062478,0.0018668213568103075,705042
429.25698642331014,0.6342777342988045,0.001709001011683211,914465
497.0112206380037,0.40400348320627305,0.00129216532694736,1180593
575.4598323450009,0.6881417563613863,0.0013714019406197032,1515264
666.2908298477454,3.221489498027069,0.0030393923552932333,1929114
771.4586579051504,1.4782127902299587,0.0015893903533754261,2431174
893.2262522550609,0.23674906526644612,7.129819043446729E-4,3008889
1034.2137320542154,-0.009032370887408946,5.180222505174051E-4,3659503
1197.4547779682632,0.20478994729524544,5.780339946883229E-4,4344261
1386.4619090204221,0.5121250224705288,6.781971282118972E-4,4971226
1605.3020627852893,-0.1720080782410016,3.5508941518015973E-4,5437218
1858.6841052152895,-0.530082796239967,1.9764292656045004E-4,5653015
