r_km,xi,xi_err,n_rr
6.878505328268399,236.06682271560885,13.190750867925281,323
7.970434991616404,212.27616899156743,10.167542415554019,440
9.235703241299335,217.67984860736524,9.525843823225243,527
10.70182674484728,187.85673801086853,6.814780533053098,768
12.400690308517952,166.90371578465258,5.184090365836298,1049
14.369240298326803,158.5104045664444,4.315823414591659,1366
16.650288138333124,148.1831298686879,3.540956044802208,1775
19.29344136041753,132.95590089013768,2.7516150518909015,2370
22.356182453737095,108.52705703148159,1.9370913432413301,3197
25.90511897634659,89.69739955164371,1.3831223764510687,4300
30.017432116031692,71.25439655896402,0.9580418582700937,5688
34.782555203212816,52.363189322931476,0.6025221059500377,7844
40.30411867970557,37.06097388349956,0.37471681439669813,10317
46.70220382192467,27.18555163527295,0.24245691881238182,13514
54.11595423181522,20.007166275978808,0.15653904282234932,18009
62.706601889418714,15.440972314489137,0.10523313394972104,24409
72.66097357674099,11.88056559872077,0.07117746933320113,32748
84.19555392955762,8.750508439538747,0.046971450993710855,43091
97.56119347916666,5.8389972101884755,0.02839665586514843,58003
113.04856407314334,5.322389256443811,0.022846852901420217,76579
130.9944803179212,4.256906312840092,0.016453883408578913,102076
151.78922452000253,3.053791145588755,0.011024328491408034,135213
175.8850344263831,2.001617462042943,0.007101700315347358,178643
203.805938352978,1.5050844815727151,0.005155335207322027,236119
236.159151592418,2.005290273800654,0.005389972405387804,310885
273.64828194681365,1.0246733310334166,0.0031728261651369294,407209
317.0886315753812,0.7509041821392474,0.0023931294558117784,535294
367.4249279368392,0.6956277625925239,0.0020304167526737226,697414
425.7518694336974,0.8406931914149384,0.0019335961944007794,906215
493.3379325788363,0.5670750788709095,0.0014477835711655311,1171581
571.6529584353648,0.8874086467017049,0.0015374207708703485,1507115
662.4001182712293,2.820868636529466,0.0027568018134903932,1920937
767.5529536078657,1.6132785337052364,0.0016780584585071945,2425254
889.3982961985638,0.36445896405520095,7.868913658744111E-4,3006709
1030.5860013471283,0.15546468222948268,6.037175894866637E-4,3663074
1194.1865761518627,0.2203098049233727,5.848077525813407E-4,4354256
1383.7579559563283,0.5389294995985893,6.889316086024903E-4,4989824
1603.4228812407414,-0.09105431511350018,3.8886498723325657E-4,5463591
1857.958557723011,-0.5300097040214219,1.9715348449017258E-4,5682885
