r_km,xi_cc,xi_ww,xi_cw,xi_cw_pred,residual,bw_bc
8.207279014538633,232.30089846259705,212.27616899156743,215.15474117723073,222.06292977203375,-6.908188594803022,0.9559279849612303
9.502721889562721,251.85414093375903,217.67984860736524,216.29865710727393,234.14433853842954,-17.84568143115561,0.92968230607736
11.002638407980426,217.67172815839632,187.85673801086853,203.02140814615478,202.21548113095804,0.8059270151967439,0.9289928593014569
12.739302838035245,187.00229066241585,166.90371578465258,174.62324550446198,176.66741966700835,-2.044174162546369,0.9447339871677591
14.750083641889105,181.6367632389014,158.5104045664444,164.73041794236923,169.68004250688335,-4.949624564514124,0.9341723530038258
17.078247546886885,164.99127000636122,148.1831298686879,156.83281537456557,156.36151313719236,0.47130223737320875,0.9476956758449332
19.7738905320128,142.49575969518216,132.95590089013768,132.98045601231738,137.64320580143982,-4.662749789122444,0.9659459768899606
22.895015761924608,120.79103638009536,108.52705703148159,111.04810161862608,114.49495925198794,-3.4468576333618586,0.9478762885327398
26.508781662877922,100.06098568404133,89.69739955164371,91.80437717040378,94.73758605977227,-2.933208889368487,0.9467984490870542
30.69294699586007,76.63383630982766,71.25439655896402,70.8931430340394,73.8951809136103,-3.0020378795709064,0.9642631045489478
35.537544021115956,55.845794655889804,52.363189322931476,52.846194864798726,54.07646362749614,-1.2302687626974134,0.9683175601798503
41.14681575617679,42.46253960696356,37.06097388349956,39.023075722612354,39.66992653636684,-0.6468508137544831,0.9342334891778646
47.6414590121018,33.48358881690626,27.18555163527295,29.476623563805315,30.170678360226724,-0.6940547964214083,0.901058680573487
55.16122147218782,24.49174534166789,20.007166275978808,21.76583815112955,22.13617901625479,-0.37034086512523956,0.9038220309515644
63.86790869546707,17.033582814511544,15.440972314489137,15.969287150065108,16.21773969008723,-0.24845254002212336,0.9521038448981347
73.94886574781883,11.112214392276746,11.88056559872077,11.6605975356016,11.489969192060219,0.1706283435413809,1.0339945564806614
85.62100837626215,7.770108654301424,8.750508439538747,8.194006738914773,8.245750502871019,-0.051743763956245914,1.0612143111160082
99.13549046672411,5.284495165302849,5.8389972101884755,5.657280064469357,5.554831458060435,0.10244860640892206,1.0511565029962693
114.78310821672885,5.287251999398153,5.322389256443811,5.254583053909873,5.304791535744623,-0.05020848183474946,1.003317325587747
132.90055730662542,3.6331368303093265,4.256906312840092,3.945486623053556,3.93267378616071,0.012812836892845958,1.0824458229463054
153.87767770726245,2.7776206591341466,3.053791145588755,2.8743324103569585,2.9124342695876004,-0.03810185923064191,1.048535645070943
178.16584201336312,1.583790529179023,2.001617462042943,1.761759942884279,1.7804894774816744,-0.01872953459739546,1.1241950527413576
206.28766779752684,1.2070528508935656,1.5050844815727151,1.380870756232584,1.3478562661938438,0.03301449003874013,1.1166505801266642
238.8482629692342,1.8592502548645038,2.005290273800654,1.892424377107193,1.9308900674666014,-0.0384656903594085,1.0385315599202747
276.54824610947696,0.712780963900344,1.0246733310334166,0.8330970394802227,0.8546154951655013,-0.021518455685278548,1.198987540981787
320.1988219444535,0.43848538190053793,0.7509041821392474,0.5971545481035749,0.5738122576906484,0.02334229041292657,1.308623460156322
370.7392363429722,0.5675097657062478,0.6956277625925239,0.6398210198288504,0.6283116651532459,0.011509354675604544,1.1071380672565734
429.25698642331014,0.6342777342988045,0.8406931914149384,0.7543162404940674,0.7302280278728681,0.024088212621199312,1.1512748885630313
497.0112206380037,0.40400348320627305,0.5670750788709095,0.4575809311133447,0.4786442385564872,-0.021063307443142498,1.1847527520254193
575.4598323450009,0.6881417563613863,0.8874086467017049,0.8094296812402968,0.7814492592303048,0.027980422009991957,1.1355934326123307
666.2908298477454,3.221489498027069,2.820868636529466,3.0828888167276154,3.014531255086537,0.06835756164107831,0.9357569710944955
771.4586579051504,1.4782127902299587,1.6132785337052364,1.4816989104167921,1.5442697182573106,-0.0625708078405185,1.0446870223718439
893.2262522550609,0.23674906526644612,0.36445896405520095,0.29593675746088893,0.293743628131822,0.0021931293290669562,1.2407382804288247
1034.2137320542154,-0.009032370887408946,0.15546468222948268,0.07541890150392576,NaN,NaN,NaN
1197.4547779682632,0.20478994729524544,0.2203098049233727,0.20785822669086515,0.21240817625242986,-0.004549949561564709,1.0372002095698634
1386.4619090204221,0.5121250224705288,0.5389294995985893,0.525429588599598,0.5253563382048021,7.325039479588735E-5,1.0258361047668485
1605.3020627852893,-0.1720080782410016,-0.09105431511350018,-0.13222948754116404,NaN,NaN,NaN
1858.6841052152895,-0.530082796239967,-0.5300097040214219,-0.5334806325458272,NaN,NaN,NaN
