lat,lon,polygon_id
-31.605564,131.535899,0
-31.474786,131.135427,0
-31.554295,130.9935,0
-31.608087,130.79005,0
-31.573907,130.156912,0
-31.656427,129.20045,0
-31.708103,128.931651,0
-31.845798,128.655284,0
-32.084242,128.017345,0
-32.123142,127.766287,0
-32.27337,127.288748,0
-32.316583,126.677745,0
-32.232517,126.18572,0
-32.280532,126.078787,0
-32.27337,126.007579,0
-32.548379,125.537275,0
-32.737237,125.000255,0
-32.867698,124.833991,0
-32.952813,124.356944,0
-33.038018,124.201182,0
-33.155694,124.094737,0
-33.567315,123.952485,0
-33.714125,123.756847,0
-33.804946,123.729015,0
-33.884373,123.566661,0
-33.938653,123.526622,0
-33.890883,123.383311,0
-33.986505,123.266612,0
-34.009454,123.154633,0
-33.904474,123.113617,0
-33.86061,123.023123,0
-33.903741,122.840831,0
-33.876642,122.776622,0
-33.894789,122.607432,0
-33.959161,122.560313,0
-33.915297,122.349864,0
-33.959242,122.267751,0
-34.022068,122.257823,0
-33.993341,122.217621,0
-34.020685,122.187266,0
-34.019138,122.094737,0
-34.014418,122.073578,0
-33.964044,122.105805,0
-33.891534,122.074229,0
-33.820733,122.005707,0
-33.897149,121.793712,0
-33.857192,121.697276,0
-33.876397,121.628429,0
-33.819513,121.532888,0
-33.815199,121.333751,0
-33.867934,121.166352,0
-33.842462,121.097667,0
-33.892999,120.562185,0
-33.936782,120.527354,0
-33.97381,120.394298,0
-33.938653,120.278575,0
-33.952325,120.100434,0
-33.926039,120.002208,0
-33.984959,119.806163,0
-34.142022,119.572032,0
-34.313409,119.469493,0
-34.358575,119.483897,0
-34.383722,119.559255,0
-34.404555,119.479503,0
-34.37005,119.408458,0
-34.411716,119.376475,0
-34.458754,119.401541,0
-34.49505,119.364024,0
-34.445896,119.301443,0
-34.532159,119.229991,0
-34.472426,119.116954,0
-34.452569,118.839854,0
-34.500421,118.887706,0
-34.558038,118.727306,0
-34.603448,118.757335,0
-34.635837,118.724946,0
-34.740004,118.442638,0
-34.825942,118.38738,0
-34.900974,118.398448,0
-34.945489,118.160818,0
-35.016778,118.199392,0
-34.987074,118.106212,0
-35.031427,117.83546,0
-35.08172,117.888927,0
-35.041681,117.901378,0
-35.089532,117.951996,0
-35.088149,118.001475,0
-35.117364,117.948578,0
-35.046319,117.684337,0
-35.080255,117.626801,0
-35.137872,117.61964,0
-35.017836,117.340587,0
-35.007501,117.191661,0
-35.062758,117.140391,0
-35.013442,116.949962,0
-35.054864,116.877696,0
-35.007501,116.736339,0
-35.050226,116.637869,0
-35.000665,116.465099,0
-34.949477,116.39503,0
-34.924981,116.382986,0
-34.939223,116.503673,0
-34.857517,116.387543,0
-34.917413,116.37615,0
-34.838637,116.096202,0
-34.835626,115.978526,0
-34.701918,115.915782,0
-34.445896,115.612315,0
-34.301853,115.290782,0
-34.301853,115.183767,0
-34.363377,115.118826,0
-34.24505,115.010427,0
-33.859552,114.961192,0
-33.78102,114.988536,0
-33.682306,114.956798,0
-33.616957,115.003917,0
-33.521091,114.988536,0
-33.644627,115.194672,0
-33.63128,115.367198,0
-33.512384,115.5171,0
-33.308038,115.625987,0
-33.297133,115.701671,0
-33.270685,115.710134,0
-33.193129,115.697927,0
-33.287693,115.66684,0
-33.024998,115.674571,0
-32.661716,115.600922,0
-32.512953,115.700938,0
-32.656915,115.639659,0
-32.78045,115.714122,0
-32.628513,115.658865,0
-32.637302,115.748709,0
-32.602309,115.769298,0
-32.537042,115.714529,0
-32.418715,115.745616,0
-32.369561,115.707856,0
-32.333185,115.73585,0
-32.27337,115.673676,0
-32.264418,115.73585,0
-32.185642,115.756847,0
-31.772638,115.721528,0
-31.648614,115.680349,0
-31.303481,115.4546,0
-30.990818,115.312999,0
-30.827244,115.180919,0
-30.522393,115.060802,0
-30.320082,115.008962,0
-30.262872,115.022797,0
-30.214044,114.974864,0
-30.145685,114.988536,0
-30.03102,114.942638,0
-29.902439,114.967459,0
-29.658136,114.946056,0
-29.479913,114.97877,0
-29.108575,114.842459,0
-28.838556,114.60377,0
-28.785089,114.577485,0
-28.655857,114.589854,0
-28.522393,114.531098,0
-28.230157,114.310069,0
-28.106703,114.166026,0
-27.862726,114.097911,0
-27.687758,114.143891,0
-27.315362,114.012543,0
-26.675651,113.590579,0
-26.415946,113.312625,0
-26.240098,113.24467,0
-26.151926,113.15698,0
-26.185559,113.258252,0
-26.234857,113.275971,0
-25.996651,113.306224,0
-26.274896,113.327998,0
-26.382755,113.38427,0
-26.274944,113.3533,0
-26.2098,113.377253,0
-26.012815,113.362674,0
-26.17658,113.396642,0
-26.159384,113.451631,0
-26.376189,113.503317,0
-26.479943,113.486755,0
-26.354918,113.525653,0
-26.273809,113.51387,0
-26.287118,113.543565,0
-26.565081,113.565507,0
-26.553117,113.593765,0
-26.439997,113.625147,0
-26.598077,113.628754,0
-26.600975,113.662177,0
-26.652893,113.669586,0
-26.61424,113.694918,0
-26.599415,113.812432,0
-26.563486,113.813879,0
-26.52213,113.870286,0
-26.342673,113.884773,0
-26.241388,113.781749,0
-26.221604,113.684138,0
-26.139386,113.648878,0
-26.089343,113.577239,0
-25.940989,113.557553,0
-25.919536,113.518765,0
-25.853422,113.511872,0
-25.728215,113.420781,0
-25.654663,113.422647,0
-25.509337,113.51525,0
-25.600955,113.520796,0
-25.632113,113.58434,0
-25.780791,113.675184,0
-25.79544,113.727832,0
-25.866632,113.722341,0
-25.885217,113.756951,0
-26.148046,113.70436,0
-26.197035,113.728004,0
-26.206715,113.795386,0
-26.12171,113.84807,0
-26.043321,113.878842,0
-25.944268,113.854503,0
-25.976373,113.909577,0
-26.119317,113.906016,0
-26.139464,113.948087,0
-26.33172,113.969981,0
-26.390888,114.021534,0
-26.447882,114.103776,0
-26.375541,114.207361,0
-26.316584,114.234371,0
-26.195862,114.191895,0
-26.06463,114.22755,0
-25.978936,114.186534,0
-25.989516,114.268565,0
-25.927423,114.234223,0
-25.841892,114.258556,0
-25.789727,114.155284,0
-25.449802,113.928396,0
-25.171808,113.802419,0
-25.105239,113.692149,0
-24.993097,113.645763,0
-24.93377,113.666759,0
-24.892755,113.610606,0
-24.728285,113.60434,0
-24.53281,113.439464,0
-24.41367,113.391449,0
