r_km,xi_cc,xi_err,n_rr
8.207279014538633,229.596633340517,16.105567482748626,205
9.502721889562721,263.13299177616636,17.014301690369372,241
11.002638407980426,217.6067331451447,11.769390879340481,345
12.739302838035245,185.70890676047662,8.486768489112574,484
14.750083641889105,184.44022421220987,7.526786515410008,607
17.078247546886885,159.9554125117618,5.593587254867462,828
19.7738905320128,144.5967054079362,4.465652403422084,1063
22.895015761924608,118.7437958288025,3.1178628751323836,1475
26.508781662877922,98.44481884581542,2.2450843341214504,1962
30.69294699586007,78.62964916773059,1.5809370180920463,2537
35.537544021115956,55.42198157251201,0.9470989062836624,3549
41.14681575617679,43.03233084390255,0.6517767396841281,4564
47.6414590121018,33.479372223114,0.4406691899882583,6122
55.16122147218782,24.308666461642577,0.2806708318673466,8131
63.86790869546707,17.028363521825142,0.17286287918465007,10877
73.94886574781883,11.216022784648388,0.1017719238185271,14408
85.62100837626215,7.746181598544667,0.06283928866902898,19372
99.13549046672411,5.293628689113097,0.03920826417184552,25766
114.78310821672885,5.258802112894676,0.03392616135164065,34034
132.90055730662542,3.610807736196702,0.02165128013980154,45351
153.87767770726245,2.7907004292193176,0.015480501679769918,59961
178.16584201336312,1.6312373549171737,0.009352529345507286,79152
206.28766779752684,1.155644479178592,0.006677246893242456,104222
238.8482629692342,1.8400304307026158,0.007679236522172494,136776
276.54824610947696,0.715753512112487,0.004053708829293439,179145
320.1988219444535,0.43775254905867345,0.0029701574141023663,234320
370.7392363429722,0.57352130893055,0.0028498246081770837,304866
429.25698642331014,0.626978004042693,0.0025869832328064965,395527
497.0112206380037,0.41977171528865515,0.001986701476891166,510707
575.4598323450009,0.737883071537817,0.0021482146384953827,654464
666.2908298477454,3.230586635178514,0.0046374910486877835,832214
771.4586579051504,1.4854493303212597,0.00242432447709923,1051062
893.2262522550609,0.2403562308561401,0.0010869166664691295,1302268
1034.2137320542154,-0.0307133502421515,7.698727829853813E-4,1585136
1197.4547779682632,0.1971328345210067,8.717808178080992E-4,1885689
1386.4619090204221,0.49251146468208035,0.0010157895158341681,2158877
1605.3020627852893,-0.18603636742649293,5.300606315767318E-4,2358082
1858.6841052152895,-0.5249768009908364,3.029363324425876E-4,2458821
