# Spatial jackknife (K=8 longitude patches)
# sigma_jk = sqrt((K-1)/K * sum_k (xi_k - xi_mean)^2)
r_km,xi_cc,sigma_poisson,sigma_jk,jk_over_poisson
8.207279014538633,229.596633340517,16.105567482748626,178.43821395013842,11.079287590534848
9.502721889562721,263.13299177616636,17.014301690369372,236.26921960034923,13.886507004521086
11.002638407980426,217.6067331451447,11.769390879340481,198.18627098552136,16.839127276621394
12.739302838035245,185.70890676047662,8.486768489112574,169.01257487703225,19.91483272977854
14.750083641889105,184.44022421220987,7.526786515410008,167.10572057850254,22.20146941013641
17.078247546886885,159.9554125117618,5.593587254867462,153.75791045878447,27.488247425654524
19.7738905320128,144.5967054079362,4.465652403422084,134.97319347930235,30.22474238610035
22.895015761924608,118.7437958288025,3.1178628751323836,107.45066956428845,34.4629234407001
26.508781662877922,98.44481884581542,2.2450843341214504,91.98590119899858,40.97213623602903
30.69294699586007,78.62964916773059,1.5809370180920463,72.95524490110564,46.146838277689056
35.537544021115956,55.42198157251201,0.9470989062836624,53.729924779052794,56.7310598951957
41.14681575617679,43.03233084390255,0.6517767396841281,39.45189643618207,60.52977044762555
47.6414590121018,33.479372223114,0.4406691899882583,28.494089702795584,64.66095281940362
55.16122147218782,24.308666461642577,0.2806708318673466,19.35228838819188,68.95012303002098
63.86790869546707,17.028363521825142,0.17286287918465007,10.206929299362947,59.046391842519455
73.94886574781883,11.216022784648388,0.1017719238185271,5.157669510964319,50.67870702887696
85.62100837626215,7.746181598544667,0.06283928866902898,3.6212643252936187,57.62739206623766
99.13549046672411,5.293628689113097,0.03920826417184552,3.3475986074063346,85.37992380213971
114.78310821672885,5.258802112894676,0.03392616135164065,3.664087777257433,108.00183785249372
132.90055730662542,3.610807736196702,0.02165128013980154,1.8946061044961522,87.50550047215447
153.87767770726245,2.7907004292193176,0.015480501679769918,1.4943758404025667,96.53277854395589
178.16584201336312,1.6312373549171737,0.009352529345507286,1.091121419005735,116.66591771025895
206.28766779752684,1.155644479178592,0.006677246893242456,0.8093348563391651,121.20786744582301
238.8482629692342,1.8400304307026158,0.007679236522172494,0.9300394129741204,121.11092167675643
276.54824610947696,0.715753512112487,0.004053708829293439,0.4166667190989655,102.7865435445176
320.1988219444535,0.43775254905867345,0.0029701574141023663,0.7420762624218572,249.8440853331424
370.7392363429722,0.57352130893055,0.0028498246081770837,0.5550079159916792,194.75160485286673
429.25698642331014,0.626978004042693,0.0025869832328064965,0.35933616203517155,138.90162003305474
497.0112206380037,0.41977171528865515,0.001986701476891166,0.5660278084624071,284.90833426476325
575.4598323450009,0.737883071537817,0.0021482146384953827,0.6003839671827677,279.4804375801474
666.2908298477454,3.230586635178514,0.0046374910486877835,1.3121424449938528,282.9423132504233
771.4586579051504,1.4854493303212597,0.00242432447709923,1.2589128074460063,519.2839569694604
893.2262522550609,0.2403562308561401,0.0010869166664691295,0.5669498058843625,521.6129473164767
1034.2137320542154,-0.0307133502421515,7.698727829853813E-4,0.4734949914799675,615.0301737435994
1197.4547779682632,0.1971328345210067,8.717808178080992E-4,0.5563043353079423,638.1240834211598
1386.4619090204221,0.49251146468208035,0.0010157895158341681,0.9977937948291851,982.2840059633762
1605.3020627852893,-0.18603636742649293,5.300606315767318E-4,0.3684490127066474,695.1072967080192
1858.6841052152895,-0.5249768009908364,3.029363324425876E-4,0.44178213399722843,1458.3332756263394
