# Geometric-mean bias model: xi_cw_pred = sqrt(xi_cc * xi_ww)
# residual = xi_cw - xi_cw_pred, bw_bc = sqrt(xi_ww/xi_cc)
r_km,xi_cc,xi_cw,xi_ww,xi_cw_pred,residual,bw_bc
8.207279014538633,229.596633340517,230.11727813817086,219.3423621323863,224.41093532747553,5.7063428106953324,0.9774138760765254
9.502721889562721,263.13299177616636,232.24657315146604,205.07606445112603,232.2978225914025,-0.0512494399364698,0.882815267760138
11.002638407980426,217.6067331451447,207.1813757388956,194.76992459473055,205.87191893501523,1.30945680388038,0.9460732945138133
12.739302838035245,185.70890676047662,174.85604780191642,182.24585641886839,183.9692331809176,-9.11318537900118,0.9906322555557187
14.750083641889105,184.44022421220987,169.06756804268238,155.1007067366794,169.13547565778552,-0.06790761510313814,0.9170205489621651
17.078247546886885,159.9554125117618,150.4283342443398,153.10258007062987,156.49148971050357,-6.063155466163778,0.9783444477003644
19.7738905320128,144.5967054079362,134.32005598218547,129.94050474639437,137.07285976944132,-2.752803787255857,0.9479666869499646
22.895015761924608,118.7437958288025,112.67593757180416,110.73570931475182,114.66986726175502,-1.9939296899508605,0.9656914406465409
26.508781662877922,98.44481884581542,90.99415211802975,86.69375661529634,92.38263454273243,-1.388482424702687,0.938420483940576
30.69294699586007,78.62964916773059,71.84869790625663,67.74240134096105,72.9832943297257,-1.1345964234690626,0.9281905121316228
35.537544021115956,55.42198157251201,53.20135701573293,53.63920169344669,54.523305547430425,-1.321948531697494,0.9837848449372784
41.14681575617679,43.03233084390255,38.52371745966219,36.235584896620516,39.487994094328116,-0.9642766346659286,0.9176354921969874
47.6414590121018,33.479372223114,29.427553746832228,26.026266612211426,29.51852075372732,-0.09096700689509163,0.8816927795721293
55.16122147218782,24.308666461642577,21.54635527406339,19.258543921540166,21.636763175799054,-0.09040790173566293,0.8900843330892048
63.86790869546707,17.028363521825142,15.91410840367203,15.4886952269434,16.240293494981863,-0.3261850913098332,0.9537201548561484
73.94886574781883,11.216022784648388,11.618658857438398,11.718381056958647,11.464450659933089,0.15420819750530868,1.0221493732720237
85.62100837626215,7.746181598544667,8.012466474809443,8.365197980631462,8.049741776339813,-0.03727530153036973,1.0391883631868608
99.13549046672411,5.293628689113097,5.465281530586985,5.8083405572098625,5.545015618533935,-0.07973408794695036,1.047488583764449
114.78310821672885,5.258802112894676,5.102447157911841,5.101667024985065,5.179638725845322,-0.07719156793348159,0.9849464982043642
132.90055730662542,3.610807736196702,3.8936247585034143,4.145277837353402,3.868824276676365,0.024800481827049303,1.071456737475431
153.87767770726245,2.7907004292193176,2.876201252627376,3.1110036599431874,2.946502884625488,-0.07030163199811224,1.0558291580761876
178.16584201336312,1.6312373549171737,1.7075258457646278,1.9121522471015957,1.7661183917735914,-0.058592546008963575,1.0826863340579067
206.28766779752684,1.155644479178592,1.309978299885874,1.5620045410754346,1.3435482590311807,-0.033569959145306694,1.1625965279444304
238.8482629692342,1.8400304307026158,1.8893655039315749,2.011274098185431,1.9237477862612744,-0.03438228232969953,1.0454978103414796
276.54824610947696,0.715753512112487,0.8706980874981083,0.9731808911469233,0.8346002880176655,0.03609779948044278,1.1660442790625116
320.1988219444535,0.43775254905867345,0.5947308170555184,0.792322156384101,0.5889321214136695,0.005798695641848983,1.345353950948057
370.7392363429722,0.57352130893055,0.6283124932586179,0.7717596027110967,0.6652973602281835,-0.0369848669695656,1.1600220425441021
429.25698642331014,0.626978004042693,0.786254270794764,0.9070243240815208,0.7541115967353934,0.032142674059370546,1.2027720141264213
497.0112206380037,0.41977171528865515,0.4385734429875971,0.5147238685168782,0.46482956143875165,-0.026256118451154553,1.1073389285390811
575.4598323450009,0.737883071537817,0.7812215021400203,0.9127345246688503,0.8206651902945931,-0.039443688154572776,1.1121886677576849
666.2908298477454,3.230586635178514,3.071827275459145,2.9276663323708076,3.075399116475653,-0.0035718410165079817,0.9519630530836126
771.4586579051504,1.4854493303212597,1.5100900816772143,1.5159336133657886,1.500614064570134,0.009476017107080237,1.010208853267041
893.2262522550609,0.2403562308561401,0.3069777958824161,0.42859421992501745,0.32095995274785416,-0.013982156865438078,1.3353510812039553
1034.2137320542154,-0.0307133502421515,0.09275668344920386,0.21994186848601927,NaN,NaN,NaN
1197.4547779682632,0.1971328345210067,0.2159263340458803,0.25265985182381284,0.22317605776535654,-0.007249723719476242,1.1321100227043845
1386.4619090204221,0.49251146468208035,0.5466461412005981,0.6034248533946757,0.5451547104914176,0.0014914307091804524,1.1068873510250545
1605.3020627852893,-0.18603636742649293,-0.13132082440381834,-0.06947893849350315,NaN,NaN,NaN
1858.6841052152895,-0.5249768009908364,-0.5325329760132905,-0.5918733547259281,NaN,NaN,NaN
