r_km,xi_cc,xi_cc_err,xi_cw,xi_cw_err
8.207279014538633,229.596633340517,16.105567482748626,230.11727813817086,13.886491404103245
9.502721889562721,263.13299177616636,17.014301690369372,232.24657315146604,12.594131157486004
11.002638407980426,217.6067331451447,11.769390879340481,207.1813757388956,9.366522910140816
12.739302838035245,185.70890676047662,8.486768489112574,174.85604780191642,6.641991257000724
14.750083641889105,184.44022421220987,7.526786515410008,169.06756804268238,5.74605062899692
17.078247546886885,159.9554125117618,5.593587254867462,150.4283342443398,4.331831370366265
19.7738905320128,144.5967054079362,4.465652403422084,134.32005598218547,3.427197333003586
22.895015761924608,118.7437958288025,3.1178628751323836,112.67593757180416,2.4889226090806185
26.508781662877922,98.44481884581542,2.2450843341214504,90.99415211802975,1.7250251250657238
30.69294699586007,78.62964916773059,1.5809370180920463,71.84869790625663,1.1886637044147663
35.537544021115956,55.42198157251201,0.9470989062836624,53.20135701573293,0.75815363129994
41.14681575617679,43.03233084390255,0.6517767396841281,38.52371745966219,0.4772296129632177
47.6414590121018,33.479372223114,0.4406691899882583,29.427553746832228,0.3206633276225387
55.16122147218782,24.308666461642577,0.2806708318673466,21.54635527406339,0.2060854887810631
63.86790869546707,17.028363521825142,0.17286287918465007,15.91410840367203,0.1334054643621847
73.94886574781883,11.216022784648388,0.1017719238185271,11.618658857438398,0.08664691476446906
85.62100837626215,7.746181598544667,0.06283928866902898,8.012466474809443,0.053603866990856466
99.13549046672411,5.293628689113097,0.03920826417184552,5.465281530586985,0.03330010225878685
114.78310821672885,5.258802112894676,0.03392616135164065,5.102447157911841,0.0272797909260297
132.90055730662542,3.610807736196702,0.02165128013980154,3.8936247585034143,0.01905028479489558
153.87767770726245,2.7907004292193176,0.015480501679769918,2.876201252627376,0.0131235393624734
178.16584201336312,1.6312373549171737,0.009352529345507286,1.7075258457646278,0.007966861352539519
206.28766779752684,1.155644479178592,0.006677246893242456,1.309978299885874,0.005913716733344305
238.8482629692342,1.8400304307026158,0.007679236522172494,1.8893655039315749,0.006453738583063352
276.54824610947696,0.715753512112487,0.004053708829293439,0.8706980874981083,0.0036504292698261273
320.1988219444535,0.43775254905867345,0.0029701574141023663,0.5947308170555184,0.0027228271288065745
370.7392363429722,0.57352130893055,0.0028498246081770837,0.6283124932586179,0.0024318561734159925
429.25698642331014,0.626978004042693,0.0025869832328064965,0.786254270794764,0.0023398357466627683
497.0112206380037,0.41977171528865515,0.001986701476891166,0.4385734429875971,0.0016600074845800688
575.4598323450009,0.737883071537817,0.0021482146384953827,0.7812215021400203,0.0018150554767673408
666.2908298477454,3.230586635178514,0.0046374910486877835,3.071827275459145,0.0036838798786731747
771.4586579051504,1.4854493303212597,0.00242432447709923,1.5100900816772143,0.0020232453556643312
893.2262522550609,0.2403562308561401,0.0010869166664691295,0.3069777958824161,9.467550668432884E-4
1034.2137320542154,-0.0307133502421515,7.698727829853813E-4,0.09275668344920386,7.168893571740921E-4
1197.4547779682632,0.1971328345210067,8.717808178080992E-4,0.2159263340458803,7.327091319583775E-4
1386.4619090204221,0.49251146468208035,0.0010157895158341681,0.5466461412005981,8.71068532775935E-4
1605.3020627852893,-0.18603636742649293,5.300606315767318E-4,-0.13132082440381834,4.675488289122126E-4
1858.6841052152895,-0.5249768009908364,3.029363324425876E-4,-0.5325329760132905,2.4643659106208176E-4
