id,lat,lon,state,suburb,street
10743106111,-37.8112818,145.1535054,,,Springfield Road
465186430,-37.786708,145.1257784,,,Doncaster Road
218028470,-37.7914336,145.1718422,,,Tunstall Square
565827592,-37.8155086,145.2212725,VIC,Ringwood,Maroondah Highway
2045666746,-37.7612665,145.1697279,,,
3214773256,-37.8117934,145.2299716,VIC,Ringwood,Maroondah Highway
552752115,-37.7971249,145.2569815,VIC,Croydon,Maroondah Highway
278926518,-37.794199,145.2791738,VIC,Croydon,Kent Avenue
9630439544,-37.7710664,145.2940313,VIC,Croydon North,Maroondah Highway
2153947797,-37.7563965,145.3542278,VIC,Lilydale,Castella Street
531399027,-37.7151557,145.1486437,,,
3345300340,-37.6735307,145.159387,,,Main Hurstbridge Road
660942564,-37.6524334,145.5181925,,,Maroondah Highway
1808687856,-38.2390054,146.3983912,,,George Street
1222247271,-38.1939842,146.5398932,,,Franklin Street
1220951682,-38.1069769,147.0644793,VIC,Sale,Cunninghame Street
3094715834,-34.2421388,116.14423,WA,,Rose Street
6976693902,-34.993574,117.8555655,,,Albany Highway
1681468901,-35.0198682,117.8824345,WA,,Albany Highway
370543326,-33.9515992,115.0731268,WA,,Bussell Highway
2669219781,-33.6155277,115.1050136,WA,,Dunn Bay Road
3744080947,-33.6507811,115.3426523,,,Kent Street
3094750074,-33.6502003,115.3465701,WA,,Prince Street
691538034,-33.3597468,115.6459554,WA,,Brittain Road
691502076,-33.3256208,115.6402745,WA,,Blair Street
3932997855,-33.3189212,115.7175548,WA,,Recreation Drive
648365682,-33.2799672,115.7158367,WA,,Old Coast Road
11834093840,-32.5614132,115.6886714,,,
2470724940,-32.5487322,115.7036291,WA,,Guava Way
11834188176,-32.4926529,115.7483645,,,
11818520804,-32.4708362,115.7595534,,,
1960888133,-32.2905521,115.7422694,WA,,
11806192946,-33.3576899,116.1524896,WA,Collie,Johnston Street
1447943194,-32.6283824,115.8735886,WA,,George Street
2100155735,-32.3470702,115.7628321,WA,,Warnbro Sound Avenue
2201364948,-32.3322023,115.814764,WA,,Settlers Avenue
739450193,-32.9324977,117.1770218,WA,Narrogin,Ensign Street
13005682896,-32.052281,115.7470577,,,
370584885,-31.8952171,115.7573181,WA,,West Coast Highway
11806194535,-31.8094455,115.7433867,WA,Hillarys,Flinders Avenue
11806194534,-31.7971194,115.7502799,,,
12163168101,-31.7254649,115.7446186,,,
628498696,-31.690367,115.717247,WA,,
12201926606,-31.5505199,115.6400145,,,
8311537823,-31.6496435,115.6973146,,,Kingsbridge Boulevard
11834328360,-31.628096,115.6925016,,,
11826874479,-32.2454841,115.8138877,,,
11834192916,-32.1280906,115.7980553,,,
1143293760,-32.1319974,115.8565183,WA,,
1143263494,-32.1062755,115.8275641,WA,,North Lake Road
10692456394,-32.1002219,115.9656603,,,
11834417685,-32.2199142,116.0068198,,,
8926800466,-32.1525298,116.0157135,,,Jull Street
10682977533,-32.148061,115.9866245,,,Armadale Road
8926841153,-32.1316827,116.0011742,,,Champion Drive
8929772133,-32.1125237,116.0147812,,,Albany Highway
9739204034,-32.033956,115.7912758,,,
2953883893,-32.06733,115.8157605,WA,,South Street
9526576733,-32.0340686,115.8342306,,,
9465241471,-31.9823154,115.7791106,,,St Quentin Avenue
2216225139,-32.0583869,115.8802194,WA,,
117191633,-32.0691928,115.9500425,WA,,Murdoch Road
2206032459,-32.0211161,115.9396085,WA,,Albany Highway
454837973,-32.0105446,115.8864897,WA,,Walanna Drive
6152746378,-31.9850501,115.9007256,WA,,Albany Highway
5785372990,-31.9373759,115.7926134,WA,,Howtree Place
5785330344,-31.9438496,115.8228937,WA,,Hood Street
600291937,-31.9409408,115.833644,,,Cambridge Street
4308785593,-31.9513993,115.8573763,WA,,
4393253275,-31.9322152,115.8584308,WA,,
11834415588,-31.9016049,115.8003459,,,
11090786327,-31.8775736,115.7776645,,,
4589261070,-31.87312,115.8297914,WA,,Wanneroo Road
4400693424,-31.8711626,115.8627733,WA,,
1973347834,-31.9297804,115.8976296,WA,,Guildford Road
1456898271,-31.9645245,115.934358,WA,,
1361288079,-31.8953433,115.8711279,WA,Dianella,Grand Promenade
1361315803,-31.8966831,115.8988417,WA,,Collier Road
11834167628,-31.8769266,115.8961439,,,
11834430075,-31.9028304,115.953361,,,
11834095403,-31.8765744,115.9259113,,,
11834413687,-31.8676448,115.9671875,WA,Caversham,Suffolk Street
8926779305,-32.0529588,115.9788575,,,Attfield Street
270862126,-31.9728148,116.0594191,WA,,Railway Road
5869781682,-31.9349221,116.0048017,WA,High Wycombe,Kalamunda Road
3846824556,-31.8890555,116.0122292,WA,,Great Eastern Highway
11834184542,-31.8886649,116.0470939,,,
567375048,-31.9006681,116.1667639,WA,,Great Eastern Highway
9481789274,-31.844616,115.8102813,,,Beach Road
11834181804,-31.831252,115.8029527,,,
11834275550,-31.8299267,115.8542105,,,
3217078721,-31.770053,115.7651747,WA,,Gwendoline Drive
8901294282,-31.8304133,115.9690352,WA,,Everglades Avenue
1473222548,-31.781925,115.970274,WA,,Main Street
2509339459,-31.7442395,115.7665936,WA,,Joondalup Drive
5490038607,-31.7527835,115.8048485,WA,,Wanneroo Road
11834411783,-31.7055668,115.8011981,,,
3925399930,-31.6580097,116.6707607,WA,,Beamish Avenue
33682726,-28.7674325,114.6171268,,,
3776153491,-30.7306717,121.4536779,WA,,Graeme Street
2395071641,-20.7352953,116.8453677,WA,Karratha,
471432914,-22.6942377,117.7958356,WA,,Central Road
2459085753,-20.4106645,118.6005731,WA,,Throssell Road
247283901,-17.9519049,122.2431404,WA,,Carnarvon Street
2364190854,-23.6983785,133.8790594,,,Railway Terrace
1537571751,-15.7756129,128.7398524,WA,,Konkerberry Drive
2478924751,-12.4637037,130.8395775,,,
5441578754,-12.5206589,131.0415168,,,
467703425,-12.4815653,130.9849839,,,Temple Terrace
6267324359,-12.4838279,130.9854249,,,
493314043,-12.3959003,130.8952414,,,Links Road
5704087569,-12.371392,130.8821187,,,
2626880955,-35.2769647,138.4603118,,,
3200715069,-35.1417175,138.4953971,,,
5330994352,-35.1071303,138.5207201,,,Sherriffs Road
1285911388,-35.0747657,138.5929665,,,Hub Drive
2179459957,-35.0174397,138.5445305,,,Diagonal Road
310536027,-35.01871,138.6157937,,,Main Road
10943132300,-34.9942667,138.5558233,,,
93943553,-34.9558059,138.5656154,,,Anzac Highway
11834184811,-34.9825287,138.5724363,,,
497197520,-34.9048091,138.5318295,,,Grange Road
762177762,-34.9512718,138.6067901,,,Unley Road
2293314763,-34.9238194,138.6027486,,,
9362948334,-34.8969548,138.5575324,,,Port Road
2383968913,-34.8698333,138.529625,,,Cheltenham Parade
848338230,-34.8752494,138.6016148,,,Main North Road
4836645274,-34.8651156,138.5809885,,,Churchill Road
512275360,-34.9420645,138.6412932,,,Portrush Road
13075906045,-34.9220324,138.6356262,SA,Norwood,The Parade
2037714286,-34.9104686,138.6293555,,,Payneham Road
3490412523,-34.9047153,138.6556898,,,Glynburn Road
11834381816,-34.870184,138.6351233,,,
11834282070,-34.8859206,138.6907907,,,
7877858285,-34.8622006,138.682929,,,
890986000,-34.8307832,138.6472406,,,
890985997,-34.8297043,138.6485013,,,Montague Road
4316700686,-34.8306405,138.6935739,,,North East Road
854633067,-34.8216013,138.7181094,,,North East Road
1080147546,-35.0640648,138.8601951,,,McLaren Street
2179550379,-34.7583844,138.5958296,,,Liberator Drive
1239467019,-34.7679842,138.6240503,,,Winzor Street
6947266286,-34.760819,138.6470946,,,John Street
859918539,-34.7175698,138.6676306,,,Elizabeth Way
11834409050,-34.7088169,138.7054412,,,
3197999469,-34.6866594,138.6888499,,,Main North Road
11341137330,-34.6193957,138.7406033,,,Tulloch Road
1404335340,-34.5952595,138.7483921,,,Cowan Street
4129284397,-35.1224014,139.2736509,,,River View Road
2307374386,-34.2807978,140.6090503,,,
2258027875,-33.0275741,137.5321426,,,
7344923140,-33.1909404,138.0075933,,,Grey Terrace
7989899085,-32.492507,137.763812,,,Jervois Street
1668375381,-37.0487286,143.7414417,,,Burke Street
2708666931,-36.8108831,144.2435224,,,High Street
9287409313,-34.2108266,142.1396072,VIC,Mildura,Fifteenth Street
13646597047,-36.7576337,144.2962897,,,Michael Street
1734717976,-37.0234963,145.1337096,,,Tallarook Street
1791659674,-36.4082906,145.3910392,,,
612554194,-36.3599515,146.3172286,,,Ryley Street
1364005492,-36.1281524,146.8640234,,,
2491846390,-36.1211495,146.881416,,,
5230328952,-36.1202037,146.8888404,,,South Street
3003966268,-36.0814428,146.9135818,,,Kiewa Street
2315713089,-36.0496837,146.9328791,NSW,Lavington,Urana Road
13302807907,-36.0444721,146.9962924,NSW,Thurgoona,Diamond Drive
11209192330,-35.5313661,144.9553596,,,
1923647661,-35.1374445,147.3322641,,,Tanda Place
11834180913,-35.1136679,147.3705424,,,
13362974101,-35.0758737,147.358907,,,
3897655338,-34.2911145,146.0547821,NSW,Griffith,Yambil Street
4894705318,-31.9647824,141.4549711,,,
601280579,-36.2356571,149.1264483,NSW,Cooma,Commissioner Street
3877568614,-37.0638556,149.9046139,,,Imlay Street
3287366428,-35.7073396,150.1755671,NSW,Batemans Bay,Perry Street
2381945007,-35.300554,148.2214725,,,Russell Street
304953129,-35.4171599,149.0672353,,,Anketell Street
8285483817,-35.391366,149.0855742,,,Sangster Place
458724979,-35.3467501,149.0855942,,,Keltie Street
441178926,-35.2527359,149.0713136,,,
1326569197,-35.2378963,149.0647435,,,Benjamin Way
988538932,-35.2202806,149.1031094,,,Georgina Crescent
2156896056,-35.413738,149.128141,,,Halley Street
358293199,-35.320823,149.1341359,,,Flinders Way
340288607,-35.351761,149.2356033,,,Monaro Street
5656128322,-35.278269,149.13382,,,Bunda Street
11337142525,-35.2493164,149.1387942,,,
5259357720,-35.1645617,149.1320065,,,Horse Park Drive
596068074,-35.1862687,149.1359771,,,Hibberson Street
637944169,-35.3583008,150.4721888,NSW,Ulladulla,Boree Street
4733192148,-35.0703788,150.6744601,,,Burton Street
1277752751,-34.7522438,149.7211609,,,Auburn Street
4405565616,-34.5649382,150.8372599,,,
1894436130,-34.4941172,150.7955353,,,Princes Highway
3236911130,-34.4862559,150.8885311,,,Cowper Street
8150855355,-34.4356756,150.8629466,,,Princes Highway
3235709832,-34.424162,150.8924763,NSW,Wollongong,Keira Street
11834090034,-34.3944416,150.8939052,,,
2640571385,-34.1687013,150.6136503,,,
11834037943,-34.371469,150.8976815,,,
2143716409,-34.1918841,150.982152,,,
3207035435,-34.050462,150.7554712,,,Raintree Way
3207040823,-34.0391422,150.7374799,,,
4417577184,-34.0282621,150.7339588,,,Fairwater Drive
2179162262,-34.0757276,150.7981771,,,
2179160147,-34.0683674,150.8111495,,,Queen Street
6418946099,-33.9762791,150.8123905,,,Willowdale Drive
5875641876,-33.9963733,150.8669353,,,
