r_km,xi_cc,sigma_poisson,sigma_jk,jk_over_poisson
8.207279014538633,232.30089846259705,10.807455424575913,186.66593995899248,17.27196020022607
9.502721889562721,251.85414093375903,10.499196733424606,231.4046683794189,22.040225957737608
11.002638407980426,217.67172815839632,7.7603692470853325,191.8670435355933,24.72395802656625
12.739302838035245,187.00229066241585,5.6556431830394125,170.37275059648817,30.12438109734634
14.750083641889105,181.6367632389014,4.850093225107149,166.93147598186337,34.418199451862186
17.078247546886885,164.99127000636122,3.864444393523693,156.13562120950292,40.40312275450669
19.7738905320128,142.49575969518216,2.8814641950679616,130.62260591204645,45.33202464761691
22.895015761924608,120.79103638009536,2.1102213359318376,109.7026807044722,51.98633851175113
26.508781662877922,100.06098568404133,1.5180415331741712,93.49919443172568,61.59198703623225
30.69294699586007,76.63383630982766,1.003336053894098,71.43887448521235,71.2013429677398
35.537544021115956,55.845794655889804,0.631580955345485,53.736655109335295,85.08276675306094
41.14681575617679,42.46253960696356,0.4211731587643316,38.8900192597419,92.33736398074431
47.6414590121018,33.48358881690626,0.29029099367475825,28.537938542274176,98.30803973976559
55.16122147218782,24.49174534166789,0.18691957034790227,19.523791921722545,104.4502289695192
63.86790869546707,17.033582814511544,0.11372280495630506,10.22079526771316,89.87463219571684
73.94886574781883,11.112214392276746,0.06614056781050251,5.0074184614128505,75.70873107348375
85.62100837626215,7.770108654301424,0.041597678238470624,3.595584998619239,86.43715589140616
99.13549046672411,5.284495165302849,0.025773233018338042,3.3046916316616954,128.22185052648837
114.78310821672885,5.287251999398153,0.022451607883538886,3.674536197850281,163.66472356504963
132.90055730662542,3.6331368303093265,0.014345727025234518,1.9077438136934683,132.98341801274316
153.87767770726245,2.7776206591341466,0.010167576357341411,1.493390647381526,146.87774105608128
178.16584201336312,1.583790529179023,0.006055766445060871,1.0642125096184223,175.7353952258846
206.28766779752684,1.2070528508935656,0.004501256475357046,0.7920451804498158,175.96090886756008
238.8482629692342,1.8592502548645038,0.005088552313460788,0.9330708953917779,183.3666705014544
276.54824610947696,0.712780963900344,0.0026639756376365363,0.42794828139496127,160.6427158525498
320.1988219444535,0.43848538190053793,0.0019545576500423364,0.7247768651854846,370.81375684661214
370.7392363429722,0.5675097657062478,0.0018668213568103075,0.5748179066589186,307.91264764672786
429.25698642331014,0.6342777342988045,0.001709001011683211,0.3360214566152148,196.6186411348371
497.0112206380037,0.40400348320627305,0.00129216532694736,0.5843471843485571,452.22323503218576
575.4598323450009,0.6881417563613863,0.0013714019406197032,0.6348602272497992,462.9279049750515
666.2908298477454,3.221489498027069,0.0030393923552932333,1.3052260663822997,429.4365168449516
771.4586579051504,1.4782127902299587,0.0015893903533754261,1.2620271697114527,794.032231938023
893.2262522550609,0.23674906526644612,7.129819043446729E-4,0.5815270316227626,815.6266352331409
1034.2137320542154,-0.009032370887408946,5.180222505174051E-4,0.4739451097868728,914.9126496274866
1197.4547779682632,0.20478994729524544,5.780339946883229E-4,0.5690577415004412,984.4710635181211
1386.4619090204221,0.5121250224705288,6.781971282118972E-4,0.9932230770459167,1464.5049879002027
1605.3020627852893,-0.1720080782410016,3.5508941518015973E-4,0.3713979690633385,1045.9280203407482
1858.6841052152895,-0.530082796239967,1.9764292656045004E-4,0.4480696439681262,2267.066430182018
